Symbol,Description,Qty (Quantity),Price,Price Chng % (Price Change %),Price Chng $ (Price Change $),Day Chng % (Day Change %),Day Chng $ (Day Change $),Mkt Val (Market Value),Cost Basis,Cost/Share,Gain % (Gain/Loss %),Gain $ (Gain/Loss $),Ratings,% of Acct (% of Account),52 Wk Low (52 Week Low),52 Wk High (52 Week High),Last Div (Last Dividend),Div Yld (Dividend Yield),Ex-Div (Ex-Dividend Date),Asset Type,Unnamed: 21
57064N201,MARKFORGED HLDG CORP EQUCORP ACT EXP: 04/27/26,300.0,0.0,,,,,0.0,6297.9,20.99,,,-,,,,,,,Equity,
ACN,ACCENTURE PLC IRELAND FCLASS CLASS A,0.1817,178.28,-6.22%,-11.82,-6.22%,-$2.15,32.39,62.9,346.18,-48.51%,-$30.51,B,0.05%,$177.50,$325.71,1.63,3.34%,04/09/2026,Equity,
ADBE,ADOBE INC,0.119,238.98,-6.63%,-16.96,-6.63%,-$2.02,28.44,69.08,580.5,-58.83%,-$40.64,A,0.05%,$224.13,$422.95,,,,Equity,
AGNC,AGNC INVT CORP REIT,500.0,10.86,-0.46%,-0.05,-0.46%,-$25.00,5430.0,4725.0,9.45,14.92%,$705.00,-,8.75%,$8.32,$12.19,0.12,13.37%,04/30/2026,Equity,
AI,C3 AI INC CLASS A,4.6776,8.54,-9.05%,-0.85,-9.06%,-$3.98,39.95,138.12,29.53,-71.08%,-$98.17,F,0.06%,$7.68,$30.24,,,,Equity,
AMZN,AMAZON.COM INC,0.7197,255.08,-0.11%,-0.28,-0.11%,-$0.20,183.58,108.08,150.17,69.86%,$75.50,C,0.3%,$169.35,$258.79,,,,Equity,
BIDU,BAIDU INC F,0.3987,121.53,-1.43%,-1.76,-1.42%,-$0.70,48.45,45.89,115.1,5.58%,$2.56,-,0.08%,$81.17,$165.30,,,,Equity,
CEVA,CEVA INC,2.3258,24.64,-0.28%,-0.07,-0.28%,-$0.16,57.31,52.03,22.37,10.15%,$5.28,-,0.09%,$17.02,$30.88,,,,Equity,
COF,CAPITAL ONE FINL CORP,0.2968,196.63,-1.4%,-2.8,-1.4%,-$0.83,58.36,38.99,131.37,49.68%,$19.37,B,0.09%,$167.00,$259.64,0.80,1.56%,02/19/2026,Equity,
CRNC,CERENCE INC,302.983,8.09,-6.26%,-0.54,-6.26%,-$163.61,2451.13,5519.34,18.22,-55.59%,"-$3,068.21",C,3.95%,$5.85,$13.74,,,,Equity,
CVS,CVS HEALTH CORP,90.7586,78.86,3.18%,2.43,3.18%,$220.54,7157.22,6224.55,68.58,14.98%,$932.67,A,11.53%,$58.35,$85.15,0.665,3.47%,04/23/2026,Equity,
F,FORD MTR CO DEL,417.9697,12.48,-1.19%,-0.15,-1.19%,-$62.70,5216.26,5575.88,13.34,-6.45%,-$359.62,A,8.4%,$9.53,$14.80,0.15,4.66%,02/13/2026,Equity,
