"Positions for account Zubeir IRA AW ...743 as of 04:42 PM ET, 2026/04/22",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
Symbol,Description,Qty (Quantity),Price,Price Chng % (Price Change %),Price Chng $ (Price Change $),Day Chng % (Day Change %),Day Chng $ (Day Change $),Mkt Val (Market Value),Cost Basis,Cost/Share,Gain % (Gain/Loss %),Gain $ (Gain/Loss $),Ratings,% of Acct (% of Account),52 Wk Low (52 Week Low),52 Wk High (52 Week High),Last Div (Last Dividend),Div Yld (Dividend Yield),Ex-Div (Ex-Dividend Date),Security Type
57064N201,MARKFORGED HLDG CORP EQUCORP ACT EXP: 04/27/26,300,,,,,,,"$6,297.90 ",$20.99 ,,,-,,,,,,,Equity
ACN,ACCENTURE PLC IRELAND FCLASS CLASS A,0.1817,190.1,-2.22%,-4.32,-2.21%,($0.78),$34.54 ,$62.90 ,$346.18 ,-45.09%,($28.36),B,0.05%,$177.50 ,$325.71 ,1.63,3.34%,4/9/2026,Equity
ADBE,ADOBE INC,0.119,255.94,3.54%,8.76,3.54%,$1.04 ,$30.46 ,$69.08 ,$580.50 ,-55.91%,($38.62),A,0.05%,$224.13 ,$422.95 ,,,,Equity
AGNC,AGNC INVT CORP REIT,500,10.91,0%,0,0%,$0.00 ,"$5,455.00 ","$4,725.00 ",$9.45 ,15.45%,$730.00 ,-,8.64%,$8.07 ,$12.19 ,0.12,13.37%,4/30/2026,Equity
AI,C3 AI INC CLASS A,4.6776,9.39,2.07%,0.19,2.07%,$0.89 ,$43.92 ,$138.12 ,$29.53 ,-68.20%,($94.20),F,0.07%,$7.68 ,$30.24 ,,,,Equity
AMZN,AMAZON.COM INC,0.7197,255.36,2.18%,5.45,2.18%,$3.92 ,$183.78 ,$108.08 ,$150.17 ,70.04%,$75.70 ,C,0.29%,$165.29 ,$258.60 ,,,,Equity
BIDU,BAIDU INC F,0.3987,123.29,-0.16%,-0.2,-0.16%,($0.08),$49.16 ,$45.89 ,$115.10 ,7.13%,$3.27 ,-,0.08%,$81.17 ,$165.30 ,,,,Equity
CEVA,CEVA INC,2.3258,24.71,0.16%,0.04,0.16%,$0.09 ,$57.47 ,$52.03 ,$22.37 ,10.46%,$5.44 ,-,0.09%,$17.02 ,$30.88 ,,,,Equity
